,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
0,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,HD2733 ©,6.0,79.0,12.0,40.0,6.5,40.1,34.8,0
1,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,HD3249 (C),6.2,78.3,12.3,58.8,7.5,45.3,33.2,0
2,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,DBW187 (C),5.8,77.6,12.6,59.2,8.5,42.5,34.2,0
3,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,DBW39 (C),5.6,80.3,11.5,44.6,2.0,44.4,43.9,0
4,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,HD2967 (C),5.8,79.2,12.3,49.6,6.5,40.0,35.2,0
5,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,HD3086 (C),5.8,78.3,12.2,45.0,7.0,39.4,35.9,0
6,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,HD3406M,5.8,78.1,12.4,51.1,6.5,38.6,33.7,0
7,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,HD3411M,5.6,77.1,12.8,51.5,4.5,41.0,38.2,0
8,North East Plains Zone (NEPZ),Kanpur,Irrigated Timely Sown,PBW826#,6.0,79.8,11.5,47.3,7.0,39.9,34.4,0
9,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,HD2733 (C),6.2,78.6,12.8,51.5,6.5,36.6,38.1,0
10,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,HD3249 (C),5.8,79.0,13.7,63.8,8.5,39.1,36.8,0
11,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,DBW187 (C),6.0,78.6,13.8,69.6,8.5,33.2,34.9,0
12,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,DBW39 (C),6.0,78.2,13.0,49.6,2.0,34.0,36.4,0
13,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,HD2967 (C),6.0,78.8,14.4,62.7,7.0,32.2,44.8,0
14,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,HD3086 (C),6.6,79.0,14.3,51.5,7.0,37.4,39.1,0
15,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,HD3406M,5.8,78.1,14.5,66.1,7.5,35.1,40.1,0
16,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,HD3411M,6.0,77.9,13.6,61.1,7.0,34.3,32.8,0
17,North East Plains Zone (NEPZ),Pusa,Irrigated Timely Sown,PBW826#,6.6,80.4,12.8,50.4,7.5,38.0,35.5,0
18,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,HD2733 (C),5.0,73.4,12.1,43.4,6.5,33.9,29.4,0
19,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,HD3249 (C),5.2,76.3,12.6,60.0,7.5,34.2,28.2,0
20,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,DBW187 (C),5.0,71.8,13.0,65.0,8.0,34.7,25.9,0
21,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,DBW39 (C),5.0,72.6,13.2,48.4,3.0,34.6,31.7,0
22,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,HD2967 (C),5.2,73.5,13.0,46.5,6.0,34.1,31.9,0
23,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,HD3086 (C),5.6,75.5,12.6,50.0,6.5,31.9,27.4,0
24,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,HD3406M,4.2,69.2,13.1,52.3,6.5,28.0,27.9,0
25,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,HD3411M,4.8,70.4,13.2,57.3,3.0,30.0,29.2,0
26,North East Plains Zone (NEPZ),Sabour,Irrigated Timely Sown,PBW826#,6.0,77.2,11.6,48.4,6.5,30.3,28.0,0
27,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,HD2733 (C),5.4,72.9,10.3,42.7,8.0,34.7,32.6,0
28,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,HD3249 (C),5.6,74.8,10.7,52.7,8.5,40.6,31.3,0
29,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,DBW187 (C),5.0,72.8,11.9,54.2,8.0,38.0,36.7,0
30,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,DBW39 (C),5.0,74.4,11.8,43.8,2.5,36.3,38.4,0
31,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,HD2967 (C),6.0,75.3,11.4,51.5,8.0,39.1,32.0,0
32,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,HD3086 (C),6.0,75.1,11.7,49.6,8.0,38.1,41.4,0
33,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,HD3406M,5.0,72.4,10.9,57.7,8.0,40.0,39.6,0
34,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,HD3411M,5.2,75.2,11.7,47.7,3.0,32.2,31.4,0
35,North East Plains Zone (NEPZ),Varanasi,Irrigated Timely Sown,PBW826#,5.4,74.1,11.3,51.1,7.0,34.1,35.9,0
36,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,HI1563 (C),5.6,81.3,12.3,42.3,3.0,49.0,44.7,0
37,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,DBW107 (C),5.6,78.7,13.4,40.0,6.5,44.7,45.6,0
38,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,HD3118 (C),5.4,77.5,12.2,46.5,6.0,44.7,42.4,0
39,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,HI1621 (C),5.4,78.2,13.0,44.6,6.0,46.8,44.4,0
40,North East Plains Zone (NEPZ),Kanpur,Irrigated Late Sown,DBW317,5.4,78.0,13.4,41.1,6.5,43.2,49.1,0
