,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
0,Northern Hills Zone (NHZ),Almora,Rainfed Timely Sown,HS562 (C),5.0,74.6,14.2,68.8,8.5,40.2,36.2,0
1,Northern Hills Zone (NHZ),Almora,Rainfed Timely Sown,HPW349 (C),4.8,76.0,14.5,70.0,8.0,42.9,50.2,1
2,Northern Hills Zone (NHZ),Almora,Rainfed Timely Sown,HS507 (C),5.0,76.6,13.6,55.4,7.0,38.6,47.9,1
3,Northern Hills Zone (NHZ),Almora,Rainfed Timely Sown,VL907 (C),5.0,74.8,14.3,49.6,8.0,41.3,50.1,1
4,Northern Hills Zone (NHZ),Almora,Rainfed Timely Sown,VL2041,4.6,72.7,14.1,69.2,3.0,35.9,40.1,0
5,Northern Hills Zone (NHZ),Shimla,Rainfed Timely Sown,HS562 (C),5.8,80.6,11.6,48.0,7.5,43.5,29.2,0
6,Northern Hills Zone (NHZ),Shimla,Rainfed Timely Sown,HPW349 (C),5.6,80.2,11.6,53.4,7.5,42.3,34.2,0
7,Northern Hills Zone (NHZ),Shimla,Rainfed Timely Sown,HS507 (C),5.8,79.8,12.4,44.6,7.0,39.2,32.8,0
8,Northern Hills Zone (NHZ),Shimla,Rainfed Timely Sown,VL907 (C),5.6,77.6,11.3,38.0,7.5,40.8,34.9,0
9,Northern Hills Zone (NHZ),Shimla,Rainfed Timely Sown,VL2041,5.4,77.6,11.0,48.8,5.0,41.4,36.0,0
10,Northern Hills Zone (NHZ),Malan,Rainfed Timely Sown,HS562 (C),6.0,77.9,11.9,43.8,8.0,39.6,31.8,0
11,Northern Hills Zone (NHZ),Malan,Rainfed Timely Sown,HPW349 (C),5.8,76.6,11.7,55.0,7.5,39.4,25.5,0
12,Northern Hills Zone (NHZ),Malan,Rainfed Timely Sown,HS507 (C),6.0,78.2,12.0,50.0,8.0,40.6,35.1,0
13,Northern Hills Zone (NHZ),Malan,Rainfed Timely Sown,VL907 (C),5.6,75.4,12.8,47.3,8.0,36.1,33.3,0
14,Northern Hills Zone (NHZ),Malan,Rainfed Timely Sown,VL2041,5.8,76.5,12.5,50.7,4.5,35.4,27.8,0
