,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
0,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,WH1105 (C),5.0,76.6,11.5,60.0,7.0,33.8,25.4,0
1,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,DBW187 (C),5.6,79.8,11.6,52.7,5.5,39.4,28.3,0
2,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,DBW222 (C),5.4,78.7,12.1,54.2,5.5,32.3,29.1,0
3,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,HD2967 (C),5.0,74.4,11.7,47.7,7.5,32.7,26.2,0
4,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,HD3086 (C),5.2,76.0,13.2,55.4,6.5,37.4,36.0,0
5,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,HD3349,5.0,77.5,12.9,51.1,4.5,41.4,46.2,1
6,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,PBW876B,5.0,79.2,13.3,58.8,6.0,38.0,44.3,1
7,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,HD3406M,5.0,77.5,11.3,62.7,6.0,33.6,28.5,0
8,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,DBW313#,5.2,79.0,12.1,54.2,5.5,40.8,32.2,0
9,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,PBW826,5.0,74.7,11.5,49.6,8.0,34.6,27.3,0
10,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,RAJ4548#,4.8,74.1,12.3,51.9,7.0,38.1,30.3,0
11,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,HD3354,5.2,77.6,11.7,54.2,6.0,33.4,27.0,0
12,North West Plains Zone (NWPZ),Ludhiana,Irrigated Timely Sown,WH1283,5.2,76.9,13.1,51.5,6.0,38.3,30.5,0
13,North West Plains Zone (NWPZ),Hisar,Irrigated Timely Sown,WH1105 (C),6.0,81.9,10.2,58.1,8.0,34.9,43.7,1
14,North West Plains Zone (NWPZ),Hisar,Irrigated Timely Sown,DBW187 (C),5.6,81.3,10.0,53.4,8.0,33.6,39.7,0
15,North West Plains Zone (NWPZ),Hisar,Irrigated Timely Sown,DBW222 (C),5.4,80.4,9.2,47.3,8.0,30.3,32.4,0
16,North West Plains Zone (NWPZ),Hisar,Irrigated Timely Sown,HD2967 (C),5.4,80.8,9.8,45.7,6.5,30.3,35.5,0
17,North West Plains Zone (NWPZ),Hisar,Irrigated Timely Sown,HD3086 (C),5.8,82.1,10.3,49.2,7.5,33.4,41.1,0
18,North West Plains Zone (NWPZ),Hisar,Irrigated Timely Sown,HD3349,5.8,80.6,10.3,51.5,8.0,33.4,39.4,0
19,North West Plains Zone (NWPZ),Hisar,Irrigated Timely Sown,PBW876B,5.4,81.5,11.0,48.4,6.5,36.7,44.8,1
20,North West Plains Zone (NWPZ),Hisar,Irrigated Timely Sown,HD3406M,5.6,77.5,11.0,44.2,7.0,33.4,40.8,0
