,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
0,Central Zone (CZ),Vijapur,Irrigated Timely Sown,GW513*,6.4,81.9,11.0,40.0,4.5,35.3,43.3,1
1,Central Zone (CZ),Vijapur,Irrigated Timely Sown,HI1636*,6.6,80.8,12.4,41.1,5.5,36.4,53.8,0
2,Central Zone (CZ),Vijapur,Irrigated Timely Sown,GW322 (C),5.6,80.2,10.8,40.7,7.0,32.3,48.8,0
3,Central Zone (CZ),Vijapur,Irrigated Timely Sown,HI1544 (C),6.4,82.5,12.2,40.0,7.0,33.8,55.6,0
4,Central Zone (CZ),Vijapur,Irrigated Timely Sown,MP3535,6.2,82.7,12.1,53.8,7.5,38.1,45.3,0
5,Central Zone (CZ),Vijapur,Irrigated Timely Sown,GW523,6.0,79.4,11.1,37.7,7.0,34.0,46.3,0
6,Central Zone (CZ),Vijapur,Irrigated Timely Sown,MACS6768,5.8,79.6,11.7,38.8,7.5,35.6,48.9,0
7,Central Zone (CZ),Vijapur,Irrigated Timely Sown,HI1667B,6.4,83.1,12.5,44.6,7.0,38.5,52.1,0
8,Central Zone (CZ),Vijapur,Irrigated Timely Sown,HI1650,7.0,82.9,13.1,36.5,8.0,39.5,60.4,0
9,Central Zone (CZ),Vijapur,Irrigated Timely Sown,HI8498(d) (C),5.6,82.0,12.1,42.3,0.0,38.5,50.2,0
10,Central Zone (CZ),Vijapur,Irrigated Timely Sown,HI8713(d) (C),6.0,82.9,12.3,45.4,0.0,43.9,58.7,0
11,Central Zone (CZ),Vijapur,Irrigated Timely Sown,HI8833(d)M,6.2,80.7,12.5,36.1,0.0,37.9,50.9,0
12,Central Zone (CZ),Vijapur,Irrigated Timely Sown,HI8832(d)M,6.4,82.9,11.8,40.0,0.0,37.8,54.3,0
13,Central Zone (CZ),Junagarh,Irrigated Timely Sown,GW513*,7.4,82.6,11.2,40.3,4.0,33.9,34.2,1
14,Central Zone (CZ),Junagarh,Irrigated Timely Sown,HI1636*,7.6,81.8,12.0,44.2,5.0,31.3,41.1,1
15,Central Zone (CZ),Junagarh,Irrigated Timely Sown,GW322 (C),7.2,81.5,11.3,38.8,6.5,36.3,44.9,0
16,Central Zone (CZ),Junagarh,Irrigated Timely Sown,HI1544 (C),7.4,83.1,11.8,40.7,6.5,35.7,36.9,1
17,Central Zone (CZ),Junagarh,Irrigated Timely Sown,MP3535,7.4,84.8,11.6,51.5,6.5,36.5,38.3,1
18,Central Zone (CZ),Junagarh,Irrigated Timely Sown,GW523,7.2,82.8,11.0,34.6,6.0,33.8,40.7,1
19,Central Zone (CZ),Junagarh,Irrigated Timely Sown,MACS6768,7.4,83.7,12.6,40.3,7.0,43.3,41.7,1
20,Central Zone (CZ),Junagarh,Irrigated Timely Sown,HI1667B,7.4,83.5,12.5,55.4,7.0,36.8,44.8,0
21,Central Zone (CZ),Junagarh,Irrigated Timely Sown,HI1650,7.4,84.8,11.7,39.6,7.0,34.3,37.2,1
22,Central Zone (CZ),Junagarh,Irrigated Timely Sown,HI8498(d) (C),7.8,84.3,12.0,36.9,0.0,37.3,49.1,0
23,Central Zone (CZ),Junagarh,Irrigated Timely Sown,HI8713(d) (C),6.8,81.0,12.3,30.3,0.0,37.8,45.2,0
24,Central Zone (CZ),Junagarh,Irrigated Timely Sown,HI8833(d)M,7.4,82.3,11.7,36.5,0.0,37.4,47.9,0
25,Central Zone (CZ),Junagarh,Irrigated Timely Sown,HI8832(d)M,7.4,83.9,11.9,34.2,0.0,37.2,44.1,0
26,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,GW513*,7.6,83.1,11.4,37.3,4.0,35.1,40.8,1
27,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,HI1636*,7.2,81.9,12.0,41.9,6.0,34.4,46.5,0
28,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,GW322 (C),6.8,80.7,11.0,38.4,8.0,32.1,42.2,1
29,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,HI1544 (C),7.0,82.5,11.7,40.3,8.0,37.7,43.6,0
30,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,MP3535,7.6,84.0,11.4,51.5,8.0,35.8,44.4,0
31,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,GW523,7.6,81.1,10.9,35.0,7.5,34.2,40.9,1
32,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,MACS6768,7.0,83.0,12.8,39.6,8.0,39.1,53.7,0
33,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,HI1667B,7.0,82.5,12.9,56.1,8.0,42.5,55.4,0
34,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,HI1650,7.2,83.4,11.8,39.6,8.0,38.7,43.2,0
35,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,HI8498(d) (C),7.2,83.3,12.2,34.2,0.0,32.6,46.7,0
36,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,HI8713(d) (C),6.2,83.6,10.8,27.3,0.0,32.5,43.2,1
37,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,HI8833(d)M,7.2,80.9,12.1,32.3,0.0,34.3,46.3,0
38,Central Zone (CZ),P.Kheda,Irrigated Timely Sown,HI8832(d)M,7.2,83.0,12.4,31.5,0.0,35.8,50.0,0
39,Central Zone (CZ),Indore,Irrigated Timely Sown,GW513*,7.2,81.6,11.2,40.0,4.0,38.0,38.1,1
40,Central Zone (CZ),Indore,Irrigated Timely Sown,HI1636*,7.4,81.4,11.8,40.3,6.0,38.7,42.1,1
41,Central Zone (CZ),Indore,Irrigated Timely Sown,GW322 (C),6.8,80.7,11.1,40.7,7.0,41.3,52.5,0
42,Central Zone (CZ),Indore,Irrigated Timely Sown,HI1544 (C),7.0,81.8,12.6,38.0,7.5,45.0,44.9,0
43,Central Zone (CZ),Indore,Irrigated Timely Sown,MP3535,6.8,82.7,13.1,40.0,7.0,40.8,44.2,0
44,Central Zone (CZ),Indore,Irrigated Timely Sown,GW523,7.0,80.7,12.2,36.1,7.5,37.1,45.0,0
45,Central Zone (CZ),Indore,Irrigated Timely Sown,MACS6768,6.8,81.8,13.7,40.7,7.5,48.7,54.7,0
46,Central Zone (CZ),Indore,Irrigated Timely Sown,HI1667B,5.6,81.9,12.8,50.4,7.0,46.3,47.4,0
47,Central Zone (CZ),Indore,Irrigated Timely Sown,HI1650,6.8,81.9,12.3,41.1,7.5,43.8,47.1,0
48,Central Zone (CZ),Indore,Irrigated Timely Sown,HI8498(d) (C),7.2,82.6,13.1,35.0,0.0,44.7,53.3,0
49,Central Zone (CZ),Indore,Irrigated Timely Sown,HI8713(d) (C),6.6,81.9,10.7,26.5,0.0,46.2,43.3,0
50,Central Zone (CZ),Indore,Irrigated Timely Sown,HI8833(d)M,6.8,81.8,12.6,35.0,0.0,44.0,54.4,0
51,Central Zone (CZ),Indore,Irrigated Timely Sown,HI8832(d)M,6.8,81.5,12.4,34.2,0.0,42.0,49.8,0
52,Central Zone (CZ),Vijapur,Irrigated Late Sown,MP4010 (C),7.0,82.8,12.7,42.7,6.0,37.3,52.5,0
53,Central Zone (CZ),Vijapur,Irrigated Late Sown,HD2864 (C),6.8,83.8,11.3,43.0,4.0,32.8,48.4,0
54,Central Zone (CZ),Vijapur,Irrigated Late Sown,MP3336 (C),7.0,82.2,11.9,39.2,4.0,33.5,51.2,0
55,Central Zone (CZ),Vijapur,Irrigated Late Sown,HD2932 (C),7.0,80.5,11.8,51.5,4.0,32.0,41.1,1
56,Central Zone (CZ),Vijapur,Irrigated Late Sown,HI1634(I) (C),7.0,82.3,11.4,41.9,7.5,34.5,46.2,0
57,Central Zone (CZ),Vijapur,Irrigated Late Sown,CG1029(I) (C),6.0,82.8,11.1,39.2,5.0,34.9,46.1,0
58,Central Zone (CZ),Vijapur,Irrigated Late Sown,HD3407M,6.8,79.9,11.8,51.9,7.5,32.6,39.7,1
59,Central Zone (CZ),Junagarh,Irrigated Late Sown,MP4010 (C),7.4,82.7,13.3,41.1,6.0,38.3,41.1,1
60,Central Zone (CZ),Junagarh,Irrigated Late Sown,HD2864 (C),7.0,83.2,12.5,44.2,4.5,44.1,36.7,1
61,Central Zone (CZ),Junagarh,Irrigated Late Sown,MP3336 (C),7.2,82.4,13.4,38.0,4.0,41.9,33.5,1
62,Central Zone (CZ),Junagarh,Irrigated Late Sown,HD2932 (C),7.2,81.1,13.9,46.9,4.0,41.4,37.0,1
63,Central Zone (CZ),Junagarh,Irrigated Late Sown,HI1634(I) (C),7.2,82.3,13.3,41.1,6.5,39.6,31.3,1
64,Central Zone (CZ),Junagarh,Irrigated Late Sown,CG1029(I) (C),7.4,82.7,12.5,38.0,5.5,39.0,36.4,1
65,Central Zone (CZ),Junagarh,Irrigated Late Sown,HD3407M,7.2,80.0,14.2,49.6,7.0,40.4,34.0,1
66,Central Zone (CZ),P.Kheda,Irrigated Late Sown,MP4010 (C),7.0,83.5,11.9,41.9,6.5,36.9,44.0,0
67,Central Zone (CZ),P.Kheda,Irrigated Late Sown,HD2864 (C),6.2,83.5,10.8,41.9,5.5,33.5,35.9,1
68,Central Zone (CZ),P.Kheda,Irrigated Late Sown,MP3336 (C),7.4,83.9,12.3,35.7,4.0,39.8,44.0,0
69,Central Zone (CZ),P.Kheda,Irrigated Late Sown,HD2932 (C),7.4,83.1,11.2,47.7,8.0,36.7,43.1,1
70,Central Zone (CZ),P.Kheda,Irrigated Late Sown,HI1634(I) (C),7.0,80.8,11.4,47.7,5.0,34.5,40.6,1
71,Central Zone (CZ),P.Kheda,Irrigated Late Sown,CG1029(I) (C),7.2,83.3,11.2,40.7,5.5,33.7,40.8,1
72,Central Zone (CZ),P.Kheda,Irrigated Late Sown,HD3407M,6.6,78.9,11.4,53.4,8.0,32.6,34.6,1
73,Central Zone (CZ),Indore,Irrigated Late Sown,MP4010 (C),6.4,83.1,11.6,41.9,6.0,39.0,39.6,1
74,Central Zone (CZ),Indore,Irrigated Late Sown,HD2864 (C),5.8,83.3,10.8,39.2,4.5,37.2,37.6,1
75,Central Zone (CZ),Indore,Irrigated Late Sown,MP3336 (C),6.0,83.2,12.4,36.5,4.0,38.0,43.7,0
76,Central Zone (CZ),Indore,Irrigated Late Sown,HD2932 (C),6.6,81.6,11.1,48.0,4.0,38.0,34.5,1
77,Central Zone (CZ),Indore,Irrigated Late Sown,HI1634(I) (C),6.6,81.1,10.3,42.7,7.0,39.3,36.9,1
78,Central Zone (CZ),Indore,Irrigated Late Sown,CG1029(I) (C),6.2,83.1,11.6,38.0,5.0,36.6,39.4,1
79,Central Zone (CZ),Indore,Irrigated Late Sown,HD3407M,6.2,80.6,11.9,49.6,7.0,36.8,36.5,1
80,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,DBW110 (C),5.4,75.3,13.8,56.9,7.0,33.7,45.0,0
81,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,MP3288 (C),5.4,77.7,14.2,52.7,7.0,32.9,37.1,1
82,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,GW528,6.4,81.3,12.8,46.5,8.0,37.3,41.7,1
83,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,DBW326,5.8,75.4,12.5,46.1,7.5,29.8,36.4,1
84,Central Zone (CZ),Vijapur,Restricted Irrigated Timely Sown,NIAW3851,6.4,76.9,12.3,51.5,8.0,36.7,39.0,1
